created_at,id,user_id,user_name,url,text,media,label
2020-02-23 04:06:39+00:00,1231430140824973313,133931409,r0b1 sur1a (黄玉春),https://twitter.com/R0b1Sur1a/status/1231430140824973313,Akhirnya sampai juga setelah menerobos banjir.. https://t.co/TqEUevU1rH,ERbrKgFU4AAnADb.jpg,0
2020-01-05 01:46:46+00:00,1213637932411580417,253063316,Beradaptasi di Era Pandemi ☀️,https://twitter.com/MarikaRahman_/status/1213637932411580417,"Kemekes RI, IDI Banten, IBI Banten dan PPNI Banten menuju daerah terisolasi putus akses banjir Lebak Banten 

@KemenkesRI 
@PBIDI https://t.co/ivZr5wLcxV",ENe1HUVUEAANLFT.jpg,0
2020-01-18 06:22:09+00:00,1218418277946396673,64318803,rywyu,https://twitter.com/rywyu/status/1218418277946396673,"Dikarenakan cikini rada2 banjir tdi pagi hingga gk tau apa udh surut,
Ku memutuskan @gofoodindonesia membantu menyelamatkan gembel2 yg ada diperut ini,
Thnkyou buat bapak gofoodnya 😁👍 https://t.co/hjcJjm1M1k",EOiw80RU0AcJ4CI.jpg,0
2020-02-22 23:38:00+00:00,1231362534717837313,17383917,ICALIZERS,https://twitter.com/icalizers/status/1231362534717837313,"#sperma TT dikala warga jakarta sedang prihatin #banjir 🤣🤣🤣
.
.
#banjirjakarta #BanjirJakarta2020 #pulomas #jakarta https://t.co/XhxmHasr7m",ERatrt9UYAAtLMI.jpg,0
2019-12-17 10:54:31+00:00,1206890412574568449,3102973556,AN,https://twitter.com/lokbin103/status/1206890412574568449,"KUIS!

Jakarta banjir parah hari ini, pertanyaannya, siapakah yg akan disalahkan gubernur kali ini?

A. Ahok
B. Mentri PUPR
C. Kadis
D. Warga

Jawaban dikirimkan ke 

PO BOX 212
Dgn kode ""ini bukan banjir tapi cobaan"".

25 pemenang mendapatkan tiket gratis jalan2 di monas. https://t.co/SQED8TcW2b",EL-8Z-vUcAIiIlV.jpg,0
2020-02-24 01:23:55+00:00,1231751577372774400,1222102181270052869,Rizkalovianita,https://twitter.com/rizkalovianita/status/1231751577372774400,"Banjir sudah 1 hari 
@RadioElshinta @jokowi @ridwankamil @SAR_NASIONAL @bpbd_bekasi @bmsdakotabekasi https://t.co/XnKF3YRjOR",ERgPhLaWoAABqfJ.jpg,1
2020-02-25 01:44:48+00:00,1232119218474078209,841871718234877952,tomblok1806,https://twitter.com/PaulusSetiohut1/status/1232119218474078209,"Hmmmm banjir jilid 2. Belum 2 bulan th 2020 sdh dapat banjir lagu Yg dievakuasi si Nero ke  lt atas, https://t.co/bhRrgObih3",ERld4yzXUAcEyTm.jpg,1
2020-01-11 08:17:40+00:00,1215910633972977664,1527244580,Mizan Amanah,https://twitter.com/mizanamanahorg/status/1215910633972977664,"Momen akhir pekan memang akan sangat indah apabila dihabiskan bersama dengan keluarga juga sanak saudara kita, namun bagiamana dengan korban yang sampai saat ini masih terdampak banjir? Bisakah mereka menghabiskan… https://t.co/lBBwaNOr4W https://t.co/Mz8A40dOhf",EN_IPwHU4AAilCc.jpg,0
2020-01-15 06:33:53+00:00,1217334067974172672,1373995759,FADLI.HZ,https://twitter.com/Fadli_HZ15/status/1217334067974172672,"Kunjungan dan penyerahan bantuan untuk korban bencana banjir di desa Tanda Raja dan desa Muara Empayang Kec. Kikim Timur Kab. Lahat
#TanggapPascaBencanaLahat  
@halimiskandarnu
@anwsanusi
@imansyukri
@taufikmadjid71
@fachrilabalado
@SukoyoKasekpro
@zella0602
#TPPSumsel
#TPPLahat https://t.co/pU013yIv4d",EOTW1zbUcAARhMh.jpg,0
2020-02-24 23:54:25+00:00,1232091442190811136,289218381,octadandy,https://twitter.com/octadandy/status/1232091442190811136,"06.51 Pagi Hari (25022020) - Kondisi sisa rintik hujan, semoga pompa aktif dan #banjir cepat surut. Lokasi Jl. pondok jaya IX, Pela Mampang, Mampang Prapatan, Jakarta Selatan, antara 20 s.d 30 cm. #BanjirJakarta cc : #FYI  @TMCPoldaMetro https://t.co/gllseEakWh",ERlElPeUUAAkJ0J.jpg,1
