created_at,id,user_id,user_name,url,text
2020-02-24 23:10:51+00:00,1232080478984761344,905695675,satria,https://twitter.com/SatrReformasi/status/1232080478984761344,"Banjir Mutiara Gading Timur Blok D3, Bekasi
Ketinggian dah hampir 100cm.

Sekiranya ada bantuan perahu karet buat evakuasi warga please

#banjir 
#banjirbekasi
@TMCPoldaMetro @InfoBekasi @ridwankamil @BNPB_Indonesia https://t.co/MruYxAA1Ml"
2020-02-24 23:15:38+00:00,1232081681072308224,49900739,Van,https://twitter.com/ryvandy/status/1232081681072308224,"this fckd up city. hujan banjir, hukan baniir, gitu ae terus 😂 https://t.co/hxdEIw4CNE"
2020-02-24 23:42:33+00:00,1232088456722931713,192800931,Farid Muhammad,https://twitter.com/FaridMuhammd/status/1232088456722931713,"Jakarta kebanjiran nya benjamin akan menjadi lagu lama yang selalu dinyanyikan. Banjir di jakarta dari jaman dl, jadi live with it. Yang ngeluh ketauan pendatang😂 https://t.co/e2YIeR3kE3"
2020-02-24 19:27:08+00:00,1232024179060305920,170209345,Key Key,https://twitter.com/kikifatmala2/status/1232024179060305920,"Buaran klender masih hujan deras..  Hujan dari jam 12 hingga sekarang..  Hati2 takut banjir lagi di kawasan jip,  sd 08 dan mall klender... 
#JakartaBanjir 
#Banjir2020 https://t.co/GfN6EKQnR6"
2020-02-24 23:52:56+00:00,1232091068260175872,534003615,eva herlina,https://twitter.com/Evasibawih/status/1232091068260175872,Banjir kembali datang seperti awal tahun 2020 @petabencana @TMCPoldaMetro  Perumahan Duta Kranji https://t.co/wd55qUotda
2020-02-24 23:23:41+00:00,1232083705599909888,129372500,mimin akun gosip,https://twitter.com/menerjanghujan/status/1232083705599909888,kondisi depan kosan. ini kalo dipaksain berangkat kantor bakalan ngelewatin banjir di daerah pasar dan kudu muter😭 https://t.co/VWQHHZpsxI
2020-02-24 20:48:39+00:00,1232044693854158848,1214442471783985152,ⒸⒾⓁⓌⓄⓄ💙,https://twitter.com/snoowoobaby/status/1232044693854158848,"Gue baru sampe rumah setelah nerobos hujan + banjir karna kalo gue nunggu reda, kemungkinan besar gaakan bisa masuk rumah karna tadi aja banjirnya dah hampir dalem banget 😭 https://t.co/M7088Dn3pd"
2020-02-24 23:23:45+00:00,1232083725644550145,77430240,Roy Senjaya,https://twitter.com/roy_cilooy/status/1232083725644550145,Banjir satrio di kedua arah. Pemotor dan kendaraan sedan harap hati-hati mengantisipasi kendaraan mogok. @TMCPoldaMetro https://t.co/WpuM0S9N2s
2020-02-24 23:50:10+00:00,1232090373100466176,2372972755,wiw 💋,https://twitter.com/wiwidharyanti8/status/1232090373100466176,Baik banget si bapaknya. Hujan deras + banjir gak menghalangi kita untuk beraktivitas. Tetap semangat gaes. Jangan bermalas-malasan. Btw itu gua pakai paket langganan grab bike @GrabID yang biasanya 11k jadi 2k mantul gak tuh. Makasih grab sangat membantu. https://t.co/h9iVGV41nD
2020-02-24 07:28:25+00:00,1231843306683785216,1169093578028486656,Fraksi Nasdem DKI Jakarta,https://twitter.com/fraksinasdemjkt/status/1231843306683785216,"Minggu Pagi (24/02) @wibiandrino mendampingi @aniesbaswedan turun langsung ke lokasi banjir salah satunya di Cempaka Putih Barat.

Selang beberapa jam kondisi air di wilayah tersebut sudah surut, dan warga dapat beraktifitas secara normal.

@DPWNasDemDKI @NasDem 
#BanjirJakarta https://t.co/mK0ppz9jSU"
